largest,size_to_switch,keycomparisons,timetaken,numitems
1000,0,8711,0:00:00.003995,1000
1000,0,8669,0:00:00.003006,1000
1000,0,120560,0:00:00.036000,10000
1000,0,120374,0:00:00.036993,10000
1000,0,1536382,0:00:00.454029,100000
1000,0,1535897,0:00:00.425044,100000
1000,0,18671804,0:00:05.409178,1000000
1000,0,18671457,0:00:05.315621,1000000
1000,0,220048689,0:01:04.794688,10000000
1000,0,220048900,0:01:03.507725,10000000
10000,0,8726,0:00:00.002997,1000
10000,0,8701,0:00:00.003000,1000
10000,0,120521,0:00:00.039997,10000
10000,0,120380,0:00:00.036001,10000
10000,0,1536651,0:00:00.448030,100000
10000,0,1536392,0:00:00.431032,100000
10000,0,18674008,0:00:05.430125,1000000
10000,0,18673912,0:00:05.418006,1000000
10000,0,220098455,0:01:07.027265,10000000
10000,0,220096365,0:01:08.040017,10000000
100000,0,8685,0:00:00.003000,1000
100000,0,8705,0:00:00.002000,1000
100000,0,120421,0:00:00.034997,10000
100000,0,120499,0:00:00.034996,10000
100000,0,1536217,0:00:00.475995,100000
100000,0,1536471,0:00:00.462003,100000
100000,0,18674594,0:00:05.584147,1000000
100000,0,18674584,0:00:05.514831,1000000
100000,0,220101473,0:01:08.646674,10000000
100000,0,220100931,0:01:08.023273,10000000
1000000,0,8728,0:00:00.003998,1000
1000000,0,8686,0:00:00.004003,1000
1000000,0,120611,0:00:00.040996,10000
1000000,0,120469,0:00:00.035997,10000
1000000,0,1536076,0:00:00.441003,100000
1000000,0,1536251,0:00:00.446996,100000
1000000,0,18674997,0:00:05.721567,1000000
1000000,0,18674416,0:00:05.564692,1000000
1000000,0,220098262,0:01:08.030850,10000000
1000000,0,220102445,0:01:07.809278,10000000
10000000,0,8718,0:00:00.003001,1000
10000000,0,8726,0:00:00.002996,1000
10000000,0,120599,0:00:00.035999,10000
10000000,0,120446,0:00:00.046999,10000
10000000,0,1536325,0:00:00.455996,100000
10000000,0,1536352,0:00:00.444998,100000
10000000,0,18672882,0:00:05.470208,1000000
10000000,0,18674091,0:00:05.569353,1000000
10000000,0,220104395,0:01:07.838099,10000000
10000000,0,220099447,0:01:07.674781,10000000
1000,2,8452,0:00:00.002998,1000
1000,2,8471,0:00:00.003001,1000
1000,2,118408,0:00:00.032999,10000
1000,2,118542,0:00:00.039998,10000
1000,2,1518702,0:00:00.457988,100000
1000,2,1518902,0:00:00.492001,100000
1000,2,18432879,0:00:05.152017,1000000
1000,2,18432388,0:00:05.093014,1000000
1000,2,217945327,0:01:02.131063,10000000
1000,2,217949792,0:01:01.639161,10000000
10000,2,8424,0:00:00.002999,1000
10000,2,8460,0:00:00.003002,1000
10000,2,118541,0:00:00.033001,10000
10000,2,118273,0:00:00.031999,10000
10000,2,1519042,0:00:00.429004,100000
10000,2,1518973,0:00:00.432003,100000
10000,2,18436164,0:00:05.219208,1000000
