largest,size_to_switch,keycomparisons,timetaken
1000,0,8699,0:00:00.003001
1000,0,8676,0:00:00.003000
1000,0,120326,0:00:00.034999
1000,0,120374,0:00:00.037999
1000,0,1535974,0:00:00.466998
1000,0,1536045,0:00:00.439002
1000,0,18670515,0:00:05.452377
1000,0,18670830,0:00:05.294524
1000,0,220045379,0:01:06.893715
1000,0,220047422,0:01:08.584302
10000,0,8726,0:00:00.004000
10000,0,8695,0:00:00.003002
10000,0,120399,0:00:00.040998
10000,0,120418,0:00:00.045005
10000,0,1536810,0:00:00.536000
10000,0,1536252,0:00:00.508998
10000,0,18674587,0:00:05.767052
10000,0,18674181,0:00:05.780626
10000,0,220099606,0:01:10.414002
10000,0,220099314,0:01:09.071906
100000,0,8707,0:00:00.004005
100000,0,8711,0:00:00.004996
100000,0,120506,0:00:00.045998
100000,0,120500,0:00:00.041001
100000,0,1536067,0:00:00.570001
100000,0,1536409,0:00:00.472995
100000,0,18673636,0:00:05.741005
100000,0,18674866,0:00:05.658753
100000,0,220098856,0:01:09.261247
100000,0,220100906,0:01:09.098071
1000000,0,8741,0:00:00.003000
1000000,0,8744,0:00:00.003001
1000000,0,120472,0:00:00.035996
1000000,0,120384,0:00:00.034996
1000000,0,1536451,0:00:00.447513
1000000,0,1536544,0:00:00.466997
1000000,0,18674191,0:00:05.603871
1000000,0,18673702,0:00:05.564868
1000000,0,220100395,0:01:09.328228
1000000,0,220097811,0:01:09.379176
10000000,0,8696,0:00:00.003001
10000000,0,8713,0:00:00.002999
10000000,0,120438,0:00:00.034997
10000000,0,120408,0:00:00.035005
10000000,0,1536336,0:00:00.469070
10000000,0,1536438,0:00:00.461518
10000000,0,18674942,0:00:05.766730
10000000,0,18673922,0:00:05.688547
10000000,0,220100689,0:01:07.972880
10000000,0,220098087,0:01:07.538278
1000,5,8779,0:00:00.002990
1000,5,8792,0:00:00.003008
1000,5,121541,0:00:00.029996
1000,5,121532,0:00:00.030009
1000,5,1536599,0:00:00.389980
1000,5,1536241,0:00:00.390994
1000,5,18722794,0:00:04.864073
1000,5,18723176,0:00:04.817051
1000,5,221046948,0:01:00.616151
1000,5,221046978,0:01:01.672506
10000,5,8771,0:00:00.003000
10000,5,8812,0:00:00.003004
10000,5,121452,0:00:00.032000
